Date,Illumination,,,,,,,,,,,,,
07/02/2023,1,,,,,,,,,,,,,
08/02/2023,0.99,,,,,,,,,,,,,
09/02/2023,0.97,,,,,,,,,,,,,
10/02/2023,0.92,,,,,,,,,,,,,
11/02/2023,0.87,,,,,,,,,,,,,
12/02/2023,0.8,,,,,,,,,,,,,
13/02/2023,0.72,,,,,,,,,,,,,
14/02/2023,0.62,,,,,,,,,,,,,
15/02/2023,0.52,,,,,,,,,,,,,
16/02/2023,0.42,,,,,,,,,,,,,
17/02/2023,0.32,,,,,,,,,,,,,
18/02/2023,0.22,,,,,,,,,,,,,
19/02/2023,0.13,,,,,,,,,,,,,
20/02/2023,0.06,,,,,,,,,,,,,
21/02/2023,0.02,,,,,,,,,,,,,
22/02/2023,0,,,,,,,,,,,,,
23/02/2023,0.02,,,,,,,,,,,,,
24/02/2023,0.06,,,,,,,,,,,,,
15/03/2024,0.26,,,,,,,,,,,,,
16/03/2024,0.37,,,,,,,,,,,,,
17/03/2024,0.47,,,,,,,,,,,,,
18/03/2024,0.57,,,,,,,,,,,,,
19/03/2024,0.67,,,,,,,,,,,,,
20/03/2024,0.76,,,,,,,,,,,,,
21/03/2024,0.83,,,,,,,,,,,,,
22/03/2024,0.9,,,,,,,,,,,,,
23/03/2024,0.95,,,,,,,,,,,,,
24/03/2024,0.98,,,,,,,,,,,,,
25/03/2024,1,,,,,,,,,,,,,
26/03/2024,1,,,,,,,,,,,,,
27/03/2024,0.98,,,,,,,,,,,,,
28/03/2024,0.94,,,,,,,,,,,,,
29/03/2024,0.89,,,,,,,,,,,,,
30/03/2024,0.82,,,,,,,,,,,,,
13/04/2024,0.25,,,,,,,,,,,,,
14/04/2024,0.35,,,,,,,,,,,,,
15/04/2024,0.44,,,,,,,,,,,,,
16/04/2024,0.54,,,,,,,,,,,,,
17/04/2024,0.63,,,,,,,,,,,,,
18/04/2024,0.72,,,,,,,,,,,,,
19/04/2024,0.8,,,,,,,,,,,,,
20/04/2024,0.87,,,,,,,,,,,,,
21/04/2024,0.93,,,,,,,,,,,,,
22/04/2024,0.97,,,,,,,,,,,,,
23/04/2024,0.99,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,